material_id,material_name,formula,crystal_structure,bandgap_energy_eV,is_direct_bandgap,conductivity_S_cm,mobility_cm2_Vs,carrier_concentration_cm3,thermal_conductivity_W_mK,breakdown_field_MV_cm,absorption_coefficient_cm1,refractive_index,max_operating_temp_C,thermal_stability,potential_applications
RAND-0036,NanoTenium,AlSi,Cubic,4.898,False,3.26,4709.08,4.66e+18,204.86,8.677,5.10e+04,3.53,1005.0,Very High,High Power Electronics
RAND-0037,PicoCnium,S,Orthorhombic,4.25,True,0.03,1498.2,7.57e+17,219.87,2.569,7.96e+03,2.5,685.0,High,High Power Electronics
RAND-0038,MicroGadyne,Al2,Monoclinic,0.883,False,895.62,1972.98,1.32e+18,258.27,8.992,7.32e+05,1.64,297.7,Low,"Transistors, Photodetectors, Thermoelectrics"
RAND-0039,QuantumGelite,TeIn1,Orthorhombic,0.335,False,21.67,2702.01,1.93e+18,177.34,9.687,1.06e+03,2.49,857.0,Very High,General semiconductor applications
MOD-CdS-0040,High-performance Cadmium Sulfide (2D),CdS,Zincblende,2.963,True,8.78,17.08,1.93e+16,401.65,2.25,2.65e+04,1.59,119.0,Low,General semiconductor applications
MOD-Graphene-0041,"Next-gen Graphene (nanoporous, lightly doped)",C,Hexagonal,0.0,False,12122.69,6977.28,9.60e+18,246.75,0.0,1.07e+04,2.16,535.7,High,General semiconductor applications
RAND-0042,NeoCphene,Ge3,Orthorhombic,5.25,False,0.05,960.71,1.77e+17,76.22,6.627,2.72e+03,2.71,466.2,Medium,General semiconductor applications
RAND-0043,NanoAllite,GeTeSi,Hexagonal,4.099,True,3914.42,2008.97,1.02e+15,111.06,1.425,6.51e+04,4.35,939.6,Very High,"High Power Electronics, Transistors, Transparent Conductors"
HYB-CdS-AlGaAs-0044,Hybrid Cadmium Sulfide-Aluminium Gallium Arsenide,CdS-AlGaAs,Zincblende,2.228,False,935.26,1028.48,6.59e+17,292.12,0.61,6.13e+03,3.54,440.3,Medium,Transistors
HYB-SnO2-TiO2-0045,Hybrid Tin Dioxide-Titanium Dioxide,SnO2-TiO2,Brookite,3.469,False,3.4,3.53,2.08e+20,52.22,1.93,1.23e+03,2.13,729.0,High,High Power Electronics
MOD-MoS2-0046,Molybdenum Disulfide,MoS2,Hexagonal,1.528,True,160.42,149.98,6.93e+17,328.44,0.154,4.08e+03,2.72,517.3,High,LEDs
HYB-Cu2O-SiC-0047,Hybrid Copper(I) Oxide-Silicon Carbide,Cu2O-SiC,"Hexagonal (4H, 6H)",2.714,False,283.76,384.66,7.70e+17,487.99,1.078,3.76e+04,4.02,919.4,Very High,High Power Electronics
HYB-ZnO-InP-0048,Hybrid Zinc Oxide-Indium Phosphide,ZnO-InP,Zincblende,2.608,True,1860.45,2124.03,1.67e+17,237.81,1.101,8.57e+03,2.06,611.7,High,"LEDs, High Power Electronics, Transistors"
MOD-GaAs-0049,Modified Gallium Arsenide (lightly doped),GaAs,Zincblende,0.957,True,6010.31,3405.27,4.35e+18,82.2,0.078,9.50e+03,2.37,334.1,Medium,Transistors
MOD-AlGaAs-0050,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.845,False,2761.57,2193.85,4.04e+18,391.12,0.632,5.35e+03,3.86,639.9,High,Transistors
HYB-Si-CdS-0051,Hybrid Silicon-Cadmium Sulfide,Si-CdS,Zincblende,1.817,False,469.15,639.55,2.12e+19,165.81,0.503,6.05e+04,3.76,685.8,High,Photodetectors
MOD-SiC-0052,Engineered Silicon Carbide (nanoporous),SiC,"Hexagonal (4H, 6H)",1.719,False,531.02,779.76,4.81e+16,318.11,0.573,1.35e+03,2.81,1158.7,Very High,Transistors
MOD-CdTe-0053,Engineered Cadmium Telluride (heavily doped),CdTe,Zincblende,1.316,True,296.3,508.78,3.01e+18,110.12,0.217,7.53e+03,4.46,499.9,Medium,General semiconductor applications
HYB-SnO2-TiO2-0054,Hybrid Tin Dioxide-Titanium Dioxide,SnO2-TiO2,Brookite,3.324,True,1.62,1.99,1.64e+15,186.13,2.123,1.22e+03,3.81,759.0,High,High Power Electronics
HYB-ZnO-Graphene-0055,Hybrid Zinc Oxide-Graphene,ZnO-C,Hexagonal,0.85,False,7527.45,9114.75,2.00e+18,404.11,0.062,1.73e+05,3.15,1176.6,Very High,"Transistors, Photodetectors"
RAND-0056,PicoInlite,TeSn1,Amorphous,0.267,False,12.36,4868.8,4.33e+17,406.78,6.904,4.79e+03,1.83,704.0,High,General semiconductor applications
HYB-Ge-MoS2-0057,Hybrid Germanium-Molybdenum Disulfide,Ge-MoS2,Cubic (Diamond),0.98,True,1506.83,1352.27,3.37e+16,394.63,0.086,9.13e+04,2.97,795.4,High,"Transistors, Photodetectors, Thermoelectrics"
MOD-TiO2-0058,Titanium Dioxide,TiO2,Rutile,1.927,False,0.08,0.08,1.76e+16,247.73,0.488,4.34e+05,4.31,542.8,High,Photodetectors
MOD-SnO2-0059,Custom Tin Dioxide (co-doped),SnO2,Cassiterite,4.065,False,6.24,6.46,1.03e+20,422.85,3.29,4.50e+05,2.56,581.4,High,High Power Electronics
RAND-0060,UltraCdmide,Ge2SPb1,Orthorhombic,5.37,False,191.98,3055.35,1.86e+19,118.51,7.405,1.45e+04,3.86,126.3,Low,General semiconductor applications
RAND-0061,NanoSflux,Pb2,Cubic,1.55,True,22.29,3056.11,1.02e+17,148.24,2.865,3.26e+03,2.73,953.5,Very High,General semiconductor applications
MOD-ZnO-0062,Zinc Oxide,ZnO,Wurtzite,2.633,True,87.12,129.15,3.20e+21,278.7,0.983,5.78e+05,2.99,684.1,High,Photodetectors
MOD-SiC-0063,Silicon Carbide,SiC,Cubic (3C),1.905,False,378.49,675.32,4.66e+19,325.61,0.714,1.95e+03,2.44,907.0,Very High,General semiconductor applications
RAND-0064,PicoInlite,B1,Cubic,4.515,True,228.33,4436.11,2.08e+21,34.08,4.275,1.05e+05,3.87,720.8,High,"High Power Electronics, Transparent Conductors"
MOD-InP-0065,Indium Phosphide,InP,Zincblende,1.323,True,5406.87,6673.43,7.56e+21,301.32,0.172,1.64e+03,2.37,102.1,Low,Transistors
HYB-CdS-MAPbI3-0066,Hybrid Cadmium Sulfide-Methylammonium Lead Iodide,CdS-CH3NH3PbI3,Zincblende,1.993,False,29.63,24.07,6.68e+20,78.71,0.473,2.14e+04,2.74,382.4,Medium,General semiconductor applications
MOD-Graphene-0067,Graphene,C,Hexagonal,0.0,False,10296.09,14370.98,1.06e+16,106.09,0.0,1.40e+05,4.29,983.4,Very High,General semiconductor applications
RAND-0068,MicroAlcite,P3InB,Triclinic,5.363,False,0.04,4179.51,1.31e+16,418.18,5.039,3.78e+03,2.83,1055.4,Very High,General semiconductor applications
HYB-MAPbI3-CdTe-0069,Hybrid Methylammonium Lead Iodide-Cadmium Telluride,CH3NH3PbI3-CdTe,Zincblende,1.518,True,435.42,373.96,1.39e+15,393.67,0.278,2.04e+05,1.59,403.6,Medium,"Solar Cells, LEDs, Photodetectors"
HYB-InP-MoS2-0070,Hybrid Indium Phosphide-Molybdenum Disulfide,InP-MoS2,Zincblende,1.565,False,2494.18,3232.59,1.47e+15,148.0,0.293,2.64e+05,2.12,596.2,High,"Solar Cells, Transistors, Photodetectors"
MOD-CdTe-0071,Next-gen Cadmium Telluride (quantum-confined),CdTe,Zincblende,2.08,True,412.0,427.85,2.24e+21,232.37,0.691,1.28e+04,2.07,382.5,Medium,LEDs
RAND-0072,NeoCdzine,ZnAl1Ge,Amorphous,3.1,True,0.03,1834.07,4.51e+15,3.92,4.908,2.34e+04,3.15,395.5,Medium,General semiconductor applications
MOD-GaAs-0073,"Enhanced Gallium Arsenide (strained, lightly doped)",GaAs,Zincblende,1.674,True,7675.3,10385.27,7.76e+21,13.3,0.275,2.65e+04,2.63,541.6,High,General semiconductor applications
MOD-Cu2O-0074,Enhanced Copper(I) Oxide (gradient-doped),Cu2O,Cubic,1.606,True,1.49,2.22,1.74e+16,124.92,0.384,3.35e+05,4.28,173.1,Low,Photodetectors
RAND-0075,MicroGalite,In2Al2,Hexagonal,0.734,False,79.18,4319.78,1.69e+20,105.25,8.499,8.42e+05,3.49,938.0,Very High,Photodetectors
HYB-InP-Si-0076,Hybrid Indium Phosphide-Silicon,InP-Si,Zincblende,1.21,True,2406.81,2094.73,7.72e+17,400.53,0.191,1.75e+04,1.99,769.5,High,Transistors
RAND-0077,NanoTemide,SeB3,Triclinic,5.485,False,1889.67,749.44,1.71e+18,25.68,7.373,7.72e+05,3.41,514.1,High,Transistors
HYB-CdS-SiC-0078,Hybrid Cadmium Sulfide-Silicon Carbide,CdS-SiC,"Hexagonal (4H, 6H)",2.726,False,188.52,273.57,1.75e+17,224.88,1.245,1.03e+03,2.23,1064.8,Very High,High Power Electronics
MOD-GaAs-0079,Next-gen Gallium Arsenide (gradient-doped),GaAs,Zincblende,0.749,True,3336.09,5931.0,1.60e+15,146.87,0.062,4.06e+05,2.73,663.2,High,"Transistors, Photodetectors, Thermoelectrics"
MOD-MAPbI3-0080,Enhanced Methylammonium Lead Iodide (gradient-doped),CH3NH3PbI3,Cubic,1.994,True,23.63,33.21,4.66e+21,454.51,0.636,4.18e+05,3.95,450.2,Medium,Photodetectors
HYB-TiO2-CdS-0081,Hybrid Titanium Dioxide-Cadmium Sulfide,TiO2-CdS,Anatase,3.005,True,2.57,2.94,5.46e+21,72.92,1.293,1.42e+05,3.15,784.2,High,High Power Electronics
HYB-GaAs-Cu2O-0082,Hybrid Gallium Arsenide-Copper(I) Oxide,GaAs-Cu2O,Cubic,1.768,False,2037.07,1753.61,7.93e+20,442.85,0.436,6.68e+03,4.04,463.4,Medium,Transistors
RAND-0083,MacroGaphene,Pb1Al1,Cubic,0.896,False,7423.46,1336.32,5.94e+15,2.24,6.847,2.90e+05,4.3,734.9,High,"Transistors, Photodetectors"
RAND-0084,PicoAsdex,Te1Cd2In,Tetragonal,4.419,False,961.17,1594.46,2.46e+17,445.89,6.031,1.23e+03,2.12,1042.6,Very High,"High Power Electronics, Transistors, Transparent Conductors"
RAND-0085,QuantumPbdyne,Ti,Orthorhombic,4.867,False,0.5,1729.31,2.64e+15,429.86,1.211,1.87e+03,1.75,665.4,High,High Power Electronics
RAND-0086,PicoSinium,Si,Orthorhombic,1.904,False,0.19,3208.18,8.84e+19,249.55,9.201,1.72e+05,3.75,1076.7,Very High,Photodetectors
MOD-MAPbI3-0087,Methylammonium Lead Iodide,CH3NH3PbI3,Tetragonal,1.901,True,23.08,42.86,1.42e+15,190.9,0.506,4.34e+04,3.77,249.0,Low,General semiconductor applications
MOD-Ge-0088,Advanced Germanium (lightly doped),Ge,Amorphous,0.947,False,1536.68,1683.19,2.74e+20,331.59,0.122,1.01e+04,3.81,571.4,High,"Transistors, Thermoelectrics"
MOD-InP-0089,Modified Indium Phosphide (lightly doped),InP,Zincblende,0.694,True,2904.74,3680.96,8.43e+20,34.27,0.044,1.14e+04,3.98,645.5,High,"Transistors, Thermoelectrics"
MOD-Si-0090,Silicon,Si,Amorphous,1.378,False,354.16,615.34,1.58e+20,165.97,0.122,7.02e+04,2.69,436.4,Medium,Photodetectors
MOD-MAPbI3-0091,Next-gen Methylammonium Lead Iodide (heavily doped),CH3NH3PbI3,Tetragonal,1.736,True,87.95,99.0,6.05e+18,37.75,0.362,2.46e+04,4.17,359.5,Medium,General semiconductor applications
MOD-GaN-0092,Gallium Nitride,GaN,Wurtzite,5.055,True,1227.87,1360.62,7.34e+21,161.84,7.168,2.61e+05,4.08,366.6,Medium,Transistors
MOD-CdS-0093,Cadmium Sulfide,CdS,Wurtzite,2.993,True,2.1,1.14,1.97e+16,305.57,2.223,6.12e+03,4.41,529.8,High,High Power Electronics
RAND-0094,UltraAscite,P3SiPb1,Amorphous,5.374,True,4.77,4819.73,1.56e+18,65.66,6.983,3.30e+04,2.31,997.7,Very High,General semiconductor applications
MOD-Cu2O-0095,Copper(I) Oxide,Cu2O,Cubic,2.354,True,0.78,0.54,1.77e+20,462.71,0.467,8.28e+05,2.64,325.7,Medium,Photodetectors
RAND-0096,MicroAlphene,S2,Tetragonal,1.212,True,7136.85,1529.89,3.78e+19,75.17,9.793,2.16e+04,1.65,1119.2,Very High,Transistors
RAND-0097,MacroBzine,Se2GaGe,Monoclinic,4.843,True,7.89,2519.39,1.40e+15,405.63,6.201,5.17e+03,2.35,379.6,Medium,General semiconductor applications
HYB-AlGaAs-GaAs-0098,Hybrid Aluminium Gallium Arsenide-Gallium Arsenide,AlGaAs-GaAs,Zincblende,1.659,False,3761.8,5107.42,6.24e+17,475.39,0.404,3.36e+04,2.1,350.6,Medium,Transistors
MOD-Cu2O-0099,Copper(I) Oxide,Cu2O,Cubic,2.106,False,1.54,1.4,3.41e+17,324.86,0.642,2.62e+04,2.73,156.7,Low,General semiconductor applications
MOD-Cu2O-0100,Engineered Copper(I) Oxide (nanoporous),Cu2O,Cubic,2.387,True,0.71,1.22,2.36e+17,433.47,1.031,2.90e+03,4.27,316.7,Medium,General semiconductor applications
RAND-0101,QuantumGalite,SeGaAl3,Hexagonal,4.083,True,4529.95,1470.43,1.74e+18,334.92,0.621,6.81e+05,2.45,822.2,Very High,"Transistors, Transparent Conductors"
RAND-0102,FlexAlcite,BC,Triclinic,1.789,True,6704.07,1458.37,1.17e+17,362.89,5.379,2.18e+05,2.26,343.6,Medium,"Transistors, Photodetectors"
MOD-CdS-0103,Cadmium Sulfide,CdS,Zincblende,2.462,True,16.03,12.96,1.69e+19,235.98,0.597,8.70e+04,1.98,126.5,Low,Photodetectors
MOD-TiO2-0104,"Advanced Titanium Dioxide (epitaxial, heavily doped)",TiO2,Brookite,2.177,True,0.02,0.02,1.06e+16,438.62,0.914,1.40e+04,3.8,787.3,High,General semiconductor applications
RAND-0105,SynthTidex,Si2Se2In1,Orthorhombic,5.066,False,0.05,1883.38,3.98e+15,178.62,4.635,2.70e+03,3.42,783.1,High,General semiconductor applications
MOD-AlGaAs-0106,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.89,True,4176.69,7891.62,2.47e+16,153.12,0.613,1.82e+05,2.55,619.4,High,"LEDs, Transistors, Photodetectors"
MOD-AlGaAs-0107,Aluminium Gallium Arsenide,AlGaAs,Zincblende,2.055,False,663.0,1132.87,8.80e+20,92.03,0.488,1.70e+05,3.59,133.8,Low,"Transistors, Photodetectors"
RAND-0108,NeoGemide,CdZn3S1,Orthorhombic,2.396,True,0.84,2000.14,1.46e+19,483.34,1.388,2.16e+03,2.81,861.0,Very High,General semiconductor applications
RAND-0109,NanoInflux,S,Triclinic,3.07,False,0.52,3988.4,6.60e+15,349.94,9.076,4.61e+04,3.65,890.3,Very High,High Power Electronics
RAND-0110,FlexSiflux,Ga2,Orthorhombic,3.208,True,5634.34,4082.19,1.43e+19,235.7,3.188,1.35e+03,4.28,1116.0,Very High,"High Power Electronics, Transistors"
HYB-GaAs-MAPbI3-0111,Hybrid Gallium Arsenide-Methylammonium Lead Iodide,GaAs-CH3NH3PbI3,Tetragonal,1.49,False,2515.59,3237.6,3.93e+19,330.16,0.248,4.13e+05,2.72,393.1,Medium,"Solar Cells, Transistors, Photodetectors"
RAND-0112,FlexClite,Cd,Tetragonal,4.383,True,0.1,3654.12,1.21e+15,324.93,3.278,2.37e+03,1.86,1194.3,Very High,High Power Electronics
MOD-TiO2-0113,Titanium Dioxide,TiO2,Brookite,2.356,False,0.14,0.11,2.10e+21,381.86,0.97,1.17e+04,2.23,477.9,Medium,General semiconductor applications
MOD-SnO2-0114,Tin Dioxide,SnO2,Cassiterite,3.395,False,4.99,5.99,3.20e+17,9.04,1.507,4.53e+03,3.2,729.4,High,High Power Electronics
HYB-Cu2O-AlGaAs-0115,Hybrid Copper(I) Oxide-Aluminium Gallium Arsenide,Cu2O-AlGaAs,Zincblende,1.927,True,1097.7,1208.41,8.91e+16,498.77,0.503,1.19e+05,2.95,439.8,Medium,"LEDs, Transistors, Photodetectors"
HYB-CdS-SiC-0116,Hybrid Cadmium Sulfide-Silicon Carbide,CdS-SiC,Wurtzite,2.59,False,109.39,149.66,3.56e+15,5.91,0.929,3.71e+05,2.81,1116.8,Very High,Photodetectors
MOD-CdS-0117,Modified Cadmium Sulfide (mesoporous),CdS,Zincblende,1.837,True,8.33,7.12,2.68e+17,391.98,0.245,2.45e+04,2.2,499.2,Medium,General semiconductor applications
RAND-0118,MicroAlmide,Ga3,Tetragonal,5.061,True,26.33,1839.97,6.27e+15,121.13,0.188,2.70e+04,3.44,741.4,High,General semiconductor applications
HYB-ZnO-SiC-0119,Hybrid Zinc Oxide-Silicon Carbide,ZnO-SiC,Wurtzite,3.334,False,298.19,283.13,5.63e+21,413.11,1.755,1.72e+03,3.39,1127.7,Very High,"High Power Electronics, Transparent Conductors"
HYB-SnO2-CdTe-0120,Hybrid Tin Dioxide-Cadmium Telluride,SnO2-CdTe,Rutile,2.891,True,222.81,328.75,1.13e+15,95.11,1.672,3.25e+03,2.66,543.6,High,"LEDs, High Power Electronics"
HYB-SnO2-ZnO-0121,Hybrid Tin Dioxide-Zinc Oxide,SnO2-ZnO,Zincblende,3.55,True,47.49,57.57,1.42e+18,385.27,1.954,1.23e+03,3.07,698.5,High,High Power Electronics
RAND-0122,QuantumBflux,CdGeSi,Triclinic,4.168,True,8.54,3972.71,2.57e+17,115.91,3.097,1.55e+03,3.24,280.2,Low,General semiconductor applications
MOD-TiO2-0123,Modified Titanium Dioxide (mesoporous),TiO2,Brookite,4.087,True,0.07,0.06,5.29e+15,136.19,1.695,5.25e+03,3.71,699.0,High,High Power Electronics
RAND-0124,SynthAscite,S,Orthorhombic,4.153,False,0.01,2285.17,4.57e+21,214.94,6.676,4.95e+04,1.85,205.0,Low,General semiconductor applications
MOD-Cu2O-0125,"Enhanced Copper(I) Oxide (quantum-confined, heavily doped)",Cu2O,Cubic,2.272,True,0.65,0.34,4.41e+17,115.19,0.923,2.60e+04,2.9,610.0,High,General semiconductor applications
HYB-MoS2-TiO2-0126,Hybrid Molybdenum Disulfide-Titanium Dioxide,MoS2-TiO2,Rutile,2.433,True,109.57,143.31,4.15e+18,256.1,1.059,3.14e+05,3.59,743.5,High,"LEDs, Photodetectors"
MOD-ZnO-0127,Enhanced Zinc Oxide (co-doped),ZnO,Wurtzite,4.642,True,148.18,257.27,4.26e+19,287.19,3.584,7.27e+05,2.89,485.9,Medium,Transparent Conductors
MOD-SnO2-0128,Tin Dioxide,SnO2,Rutile,2.998,False,7.51,9.84,7.73e+17,400.84,2.274,2.62e+03,2.91,325.4,Medium,General semiconductor applications
MOD-MAPbI3-0129,Methylammonium Lead Iodide,CH3NH3PbI3,Tetragonal,1.309,True,73.23,129.21,4.42e+15,263.44,0.264,3.14e+04,3.78,468.9,Medium,General semiconductor applications
MOD-InP-0130,Indium Phosphide,InP,Zincblende,0.695,True,2994.18,5282.85,3.38e+20,383.96,0.046,9.92e+03,1.61,728.6,High,"Transistors, Thermoelectrics"
RAND-0131,NanoPbdyne,Se2TiTe,Cubic,0.975,True,657.02,3427.58,1.83e+18,470.28,3.269,1.69e+05,2.78,710.7,High,"Transistors, Photodetectors, Thermoelectrics"
RAND-0132,MacroSnium,PPb2Se,Tetragonal,3.145,True,0.96,4408.97,4.38e+19,214.07,1.859,1.35e+05,3.01,824.4,Very High,High Power Electronics
MOD-SiC-0133,Silicon Carbide,SiC,Cubic (3C),3.132,True,697.26,1346.1,4.25e+19,202.75,2.219,9.91e+05,4.13,512.4,High,"LEDs, High Power Electronics, Transistors, Transparent Conductors"
MOD-GaN-0134,Gallium Nitride,GaN,Zincblende,4.272,True,1028.97,1817.59,7.11e+19,117.71,3.605,1.76e+05,3.78,888.8,Very High,"High Power Electronics, Transistors, Transparent Conductors"
MOD-Ge-0135,Germanium,Ge,Cubic (Diamond),0.614,True,1985.65,1325.08,2.78e+19,134.61,0.028,4.57e+04,2.85,116.3,Low,"Transistors, Thermoelectrics"
RAND-0136,MacroZnlite,Si2,Amorphous,0.959,False,466.66,3640.45,2.96e+16,344.4,6.133,2.94e+05,1.66,330.0,Medium,Photodetectors
MOD-AlGaAs-0137,Advanced Aluminium Gallium Arsenide (lightly doped),AlGaAs,Zincblende,1.378,False,4898.09,7448.01,5.01e+17,492.26,0.212,4.11e+04,2.97,494.5,Medium,Transistors
MOD-CdTe-0138,Cadmium Telluride,CdTe,Zincblende,1.349,True,894.42,838.18,5.91e+20,375.25,0.239,4.86e+05,1.78,153.7,Low,"Transistors, Photodetectors"
RAND-0139,UltraSiphene,S1Ge2Ga1,Orthorhombic,0.716,False,11.65,822.55,1.02e+19,477.28,6.954,1.00e+04,3.93,961.0,Very High,General semiconductor applications
